date,concorso,n1,n2,n3,n4,n5,n6
1997-12-03,87,20,36,39,41,72,76
1997-12-06,88,2,4,25,29,30,52
1997-12-10,89,1,2,14,23,78,88
1997-12-13,90,5,22,34,61,62,77
1997-12-17,91,10,65,77,80,81,86
1997-12-20,92,3,27,48,58,78,90
1997-12-24,93,13,59,63,75,85,87
1997-12-27,94,8,26,35,43,55,67
1997-12-31,95,34,36,71,76,86,89
1998-01-03,1,2,29,36,72,82,90
1998-01-07,2,20,23,24,29,66,73
1998-01-10,3,24,33,37,40,60,86
1998-01-14,4,16,37,49,52,53,82
1998-01-17,5,29,37,49,51,55,74
1998-01-21,6,22,25,26,49,59,85
1998-01-24,7,3,4,39,43,56,81
1998-01-28,8,2,3,49,51,63,79
1998-01-31,9,6,13,26,33,34,78
1998-02-04,10,18,23,24,35,48,82
1998-02-07,11,8,9,23,34,64,89
1998-02-11,12,2,15,63,65,68,78
1998-02-14,13,37,40,46,51,58,66
1998-02-18,14,10,12,29,41,45,50
1998-02-21,15,4,19,47,60,73,84
1998-02-25,16,1,27,40,81,82,85
1998-02-28,17,13,68,75,79,87,88
1998-03-04,18,28,36,59,79,84,88
1998-03-07,19,2,12,57,62,64,71
1998-03-11,20,3,23,25,44,74,89
1998-03-14,21,16,33,42,86,88,89
1998-03-18,22,1,5,17,38,61,71
1998-03-21,23,17,30,38,51,77,80
1998-03-25,24,5,6,17,55,62,73
1998-03-28,25,16,40,50,58,62,63
1998-04-01,26,17,31,42,43,55,72
1998-04-04,27,1,7,21,49,84,87
1998-04-08,28,4,7,22,27,39,88
1998-04-11,29,23,58,64,67,79,81
1998-04-15,30,4,5,46,47,73,82
1998-04-18,31,17,38,47,56,76,85
1998-04-22,32,5,22,40,46,86,87
1998-04-25,33,18,36,62,63,76,80
1998-04-29,34,15,23,27,29,50,69
1998-05-02,35,6,12,23,28,77,79
1998-05-06,36,5,28,33,64,81,84
1998-05-09,37,5,19,43,44,73,77
1998-05-13,38,6,15,41,57,81,83
1998-05-16,39,7,19,25,68,71,85
1998-05-20,40,5,13,22,25,43,50
1998-05-23,41,7,12,24,37,58,81
1998-05-27,42,36,48,56,65,71,73
1998-05-30,43,4,11,29,34,86,88
1998-06-03,44,48,50,80,81,84,87
1998-06-06,45,13,18,22,56,67,72
1998-06-10,46,5,14,17,38,64,68
1998-06-13,47,13,26,30,34,83,86
1998-06-17,48,10,16,35,39,64,65
1998-06-20,49,20,24,39,63,65,70
1998-06-24,50,19,43,59,60,67,79
1998-06-27,51,2,16,38,40,44,57
1998-07-01,52,25,33,37,47,48,79
1998-07-04,53,29,42,49,52,53,67
1998-07-08,54,5,20,24,48,78,80
1998-07-11,55,15,16,17,57,60,63
1998-07-15,56,12,32,48,68,70,85
1998-07-18,57,1,36,42,71,72,88
1998-07-22,58,56,71,75,78,81,85
1998-07-25,59,25,37,54,63,70,76
1998-07-29,60,25,60,62,68,83,89
1998-08-01,61,5,14,37,38,50,72
1998-08-05,62,7,24,40,56,79,85
1998-08-08,63,12,27,31,32,57,83
1998-08-12,64,31,33,61,77,86,88
1998-08-15,65,4,47,53,55,71,73
1998-08-19,66,6,15,16,50,62,82
1998-08-22,67,10,36,48,63,83,90
1998-08-26,68,10,40,66,72,76,80
1998-08-29,69,12,19,22,53,72,88
1998-09-02,70,1,43,45,48,83,90
1998-09-05,71,15,16,20,23,24,87
1998-09-09,72,10,25,56,68,71,77
1998-09-12,73,14,37,48,55,84,87
1998-09-16,74,22,26,29,37,75,76
1998-09-19,75,3,33,45,57,78,80
1998-09-23,76,7,9,31,41,67,68
1998-09-26,77,28,31,40,67,74,90
1998-09-30,78,20,34,44,61,74,87
1998-10-03,79,2,9,13,34,46,63
1998-10-07,80,6,13,17,49,51,83
1998-10-10,81,42,43,46,49,52,76
1998-10-14,82,15,28,42,55,76,88
1998-10-17,83,10,13,50,59,64,78
1998-10-21,84,14,39,50,56,72,89
1998-10-24,85,4,26,27,74,77,84
1998-10-28,86,37,60,64,75,80,84
1998-10-31,87,1,21,30,61,73,84
1998-11-04,88,6,54,72,75,81,87
1998-11-07,89,15,19,25,33,40,68
1998-11-11,90,19,38,60,80,81,90
1998-11-14,91,6,31,69,70,76,85
1998-11-18,92,12,18,43,47,50,83
1998-11-21,93,32,36,43,56,66,89
1998-11-25,94,32,39,52,56,69,85
1998-11-28,95,12,15,40,50,66,88
1998-12-02,96,9,23,36,66,67,77
1998-12-05,97,27,35,47,48,59,79
1998-12-09,98,1,11,42,43,61,81
1998-12-12,99,9,37,39,40,42,86
1998-12-16,100,22,43,56,71,77,83
1998-12-19,101,3,6,13,28,49,50
1998-12-23,102,3,9,14,26,47,79
1998-12-28,103,14,43,46,65,71,82
1998-12-30,104,30,36,45,49,63,89
1999-01-02,1,10,12,54,58,72,88
1999-01-07,2,34,43,44,45,53,58
1999-01-09,3,1,6,13,23,53,77
1999-01-13,4,18,23,45,51,61,86
1999-01-16,5,7,9,12,37,86,90
1999-01-20,6,1,43,45,48,51,56
1999-01-23,7,36,45,46,47,74,75
1999-01-27,8,8,48,65,72,83,88
1999-01-30,9,14,20,40,58,68,84
1999-02-03,10,45,67,70,80,81,89
1999-02-06,11,9,10,26,30,44,54
1999-02-10,12,4,8,12,17,19,80
1999-02-13,13,12,20,23,34,67,87
1999-02-17,14,24,45,49,63,78,83
1999-02-20,15,4,26,59,63,69,74
1999-02-24,16,17,19,32,41,52,87
1999-02-27,17,6,7,42,55,75,88
1999-03-03,18,40,41,51,62,66,80
1999-03-06,19,27,41,44,50,68,73
1999-03-10,20,11,20,56,69,72,76
1999-03-13,21,6,18,20,34,72,90
1999-03-17,22,3,7,14,45,68,70
1999-03-20,23,43,71,80,84,88,89
1999-03-24,24,4,26,34,61,76,81
1999-03-27,25,7,18,27,80,81,83
1999-03-31,26,25,60,64,71,75,85
1999-04-03,27,33,41,47,48,60,80
1999-04-07,28,13,27,40,46,70,84
1999-04-10,29,4,11,14,17,25,32
1999-04-14,30,34,63,70,77,83,90
1999-04-17,31,4,6,25,32,73,83
1999-04-21,32,20,53,55,61,64,74
1999-04-24,33,20,22,33,44,50,74
1999-04-28,34,1,51,53,55,73,86
1999-05-03,35,8,49,50,65,66,69
1999-05-05,36,3,10,28,71,81,88
1999-05-08,37,11,14,15,30,68,81
1999-05-12,38,3,7,10,37,57,86
1999-05-15,39,7,33,54,72,73,90
1999-05-19,40,10,23,35,64,74,90
1999-05-22,41,3,28,38,43,73,75
1999-05-26,42,3,4,13,16,59,70
1999-05-29,43,10,30,44,49,62,79
1999-06-02,44,2,16,17,65,69,72
1999-06-05,45,9,36,52,76,77,90
1999-06-09,46,16,32,35,45,72,77
1999-06-12,47,32,35,57,74,79,84
1999-06-16,48,5,20,29,41,56,86
1999-06-19,49,13,23,31,58,67,68
1999-06-23,50,31,36,37,71,86,90
1999-06-26,51,8,19,23,37,65,77
1999-06-30,52,13,22,44,74,77,87
1999-07-03,53,3,6,7,53,65,90
1999-07-07,54,38,46,63,82,83,87
1999-07-10,55,1,4,42,67,75,77
1999-07-14,56,4,48,60,63,84,88
1999-07-17,57,5,22,35,38,74,82
1999-07-21,58,11,19,26,58,67,89
1999-07-24,59,13,16,23,52,67,78
1999-07-28,60,13,64,68,84,89,90
1999-07-31,61,5,34,44,73,77,83
1999-08-04,62,12,23,46,54,78,90
1999-08-07,63,4,16,29,58,69,88
1999-08-11,64,10,19,24,29,42,67
1999-08-14,65,45,64,73,80,81,85
1999-08-18,66,13,16,51,56,65,67
